genre,color,size,left,top
brass quintet,"rgb(42, 166, 212)",100%,547px,15631px
tibetan traditional,"rgb(72, 162, 50)",100%,484px,13478px
japanese classical,"rgb(56, 155, 175)",102%,397px,13253px
rock noise,"rgb(184, 78, 132)",100%,321px,9352px
hawaiian indie,"rgb(160, 129, 50)",100%,621px,6513px
solipsynthm,"rgb(176, 136, 87)",100%,760px,2039px
french dub,"rgb(164, 141, 105)",101%,1005px,2168px
deep r&b,"rgb(152, 144, 62)",100%,938px,4446px
comedy rap,"rgb(159, 122, 12)",102%,1107px,5997px
deep italo disco,"rgb(152, 142, 96)",100%,993px,4565px
musica de fondo,"rgb(59, 123, 201)",104%,235px,13865px
tzadik,"rgb(76, 138, 132)",100%,531px,13296px
gypsy,"rgb(110, 147, 93)",100%,624px,12875px
comedia,"rgb(116, 110, 5)",100%,1104px,13306px
nu skool breaks,"rgb(200, 123, 132)",101%,1049px,1270px
kirtan,"rgb(84, 159, 95)",103%,449px,11232px
jump up,"rgb(223, 121, 131)",102%,953px,1173px
winnipeg hip hop,"rgb(157, 136, 45)",100%,1042px,4817px
lithuanian indie,"rgb(140, 141, 73)",100%,644px,6994px
italian new wave,"rgb(179, 121, 68)",100%,627px,4709px
epicore,"rgb(118, 136, 191)",104%,310px,8397px
tech house,"rgb(186, 137, 177)",106%,1280px,595px
gamelan,"rgb(79, 164, 150)",100%,799px,12801px
swedish synth,"rgb(188, 133, 90)",100%,788px,1601px
moroccan pop,"rgb(194, 124, 3)",102%,844px,5414px
polish hardcore,"rgb(225, 78, 42)",100%,300px,6660px
sinogaze,"rgb(172, 127, 132)",100%,275px,5705px
italian post-rock,"rgb(109, 148, 200)",100%,199px,8888px
bakersfield sound,"rgb(122, 136, 24)",101%,847px,10767px
cumbia funk,"rgb(178, 126, 32)",100%,1027px,8653px
shabad,"rgb(132, 137, 15)",100%,884px,12315px
forest psy,"rgb(227, 131, 185)",100%,993px,495px
zouk riddim,"rgb(187, 141, 11)",101%,988px,3762px
canadian country,"rgb(140, 141, 8)",103%,629px,9073px
scottish americana,"rgb(112, 151, 13)",100%,593px,11444px
deep ccm,"rgb(125, 146, 30)",103%,340px,8863px
acoustic blues,"rgb(86, 141, 35)",101%,1100px,14597px
trondheim indie,"rgb(152, 134, 56)",100%,401px,8023px
utah indie,"rgb(132, 143, 27)",100%,465px,9328px
tamaulipas indie,"rgb(186, 116, 19)",100%,417px,4943px
reggaeton chileno,"rgb(189, 138, 3)",102%,1080px,2219px
oi,"rgb(221, 79, 29)",101%,336px,7166px
black sludge,"rgb(187, 103, 149)",100%,167px,8700px
rap conscient,"rgb(176, 134, 8)",108%,1049px,7134px
swiss country,"rgb(152, 139, 31)",100%,677px,6537px
taiwan campus folk,"rgb(96, 157, 8)",100%,461px,11220px
aussie drill,"rgb(160, 141, 4)",102%,1225px,5329px
chinese classical performance,"rgb(32, 164, 187)",100%,357px,16010px
ukrainian classical,"rgb(29, 159, 195)",101%,321px,16578px
modern big band,"rgb(111, 134, 97)",100%,650px,12239px
boston folk,"rgb(104, 154, 12)",101%,632px,11480px
thrash-groove metal,"rgb(226, 83, 45)",100%,315px,4309px
cape breton folk,"rgb(127, 152, 54)",100%,586px,12202px
classical guitar duo,"rgb(39, 173, 209)",100%,969px,16040px
pagode,"rgb(169, 129, 3)",109%,842px,8453px
hardcore punk,"rgb(225, 67, 47)",103%,298px,8467px
delta blues,"rgb(88, 139, 36)",101%,1107px,14727px
retro metal,"rgb(196, 111, 84)",101%,284px,8348px
pixie,"rgb(199, 114, 10)",105%,368px,3251px
israeli mediterranean,"rgb(170, 139, 9)",102%,638px,6266px
j-pop girl group,"rgb(224, 107, 46)",102%,484px,1733px
norwegian doom metal,"rgb(179, 118, 87)",100%,228px,7962px
charred death,"rgb(222, 66, 116)",100%,150px,6295px
nyckelharpa,"rgb(80, 169, 80)",100%,415px,12875px
rabindra sangeet,"rgb(79, 159, 32)",100%,565px,14231px
dixieland,"rgb(91, 131, 115)",101%,1035px,14339px
indiecoustica,"rgb(125, 149, 15)",107%,518px,9265px
musica goiana,"rgb(131, 148, 19)",100%,795px,9826px
harmonica blues,"rgb(129, 123, 30)",101%,957px,12203px
finnish idol pop,"rgb(153, 140, 4)",100%,527px,6735px
argentine hardcore,"rgb(215, 85, 34)",100%,368px,8740px
vegan straight edge,"rgb(212, 87, 54)",100%,332px,9191px
cologne electronic,"rgb(147, 147, 189)",100%,1089px,1951px
outsider house,"rgb(155, 135, 182)",101%,869px,3897px
metalcore espanol,"rgb(226, 87, 47)",100%,278px,4197px
german thrash metal,"rgb(236, 67, 60)",100%,233px,5778px
melodic metalcore,"rgb(232, 76, 45)",108%,224px,4484px
early music choir,"rgb(30, 164, 33)",100%,117px,16254px
oulu metal,"rgb(221, 89, 76)",100%,181px,5536px
dominican indie,"rgb(154, 132, 67)",100%,842px,6112px
makina,"rgb(212, 119, 138)",100%,1018px,1147px
belgian new wave,"rgb(177, 121, 74)",100%,753px,2713px
focus beats,"rgb(95, 152, 176)",101%,1049px,8302px
japanese chillhop,"rgb(115, 147, 151)",103%,988px,8226px
classical trumpet,"rgb(64, 152, 153)",100%,579px,14016px
movie tunes,"rgb(79, 144, 59)",106%,563px,13555px
deep uplifting trance,"rgb(210, 123, 129)",101%,741px,1229px
columbus ohio indie,"rgb(167, 116, 37)",100%,463px,8876px
experimental hip hop,"rgb(167, 122, 60)",102%,753px,7167px
khmer,"rgb(147, 138, 46)",100%,814px,7618px
vienna indie,"rgb(154, 135, 37)",101%,608px,6291px
gothenburg indie,"rgb(149, 138, 57)",102%,488px,7714px
portuguese indie,"rgb(141, 141, 69)",100%,616px,7456px
belgian techno,"rgb(190, 138, 206)",101%,1251px,404px
chamber psych,"rgb(147, 137, 93)",104%,476px,7998px
swing italiano,"rgb(103, 145, 28)",100%,1023px,12410px
post-punk,"rgb(178, 105, 69)",105%,494px,7676px
afrofuturism,"rgb(140, 128, 73)",104%,849px,8403px
deep gothic post-punk,"rgb(187, 121, 90)",100%,423px,3737px
melbourne bounce,"rgb(205, 119, 105)",103%,1097px,1257px
neapolitan funk,"rgb(164, 128, 77)",100%,995px,4209px
beats,"rgb(139, 152, 177)",100%,1189px,1182px
mexican techno,"rgb(191, 139, 202)",100%,1203px,755px
gqom,"rgb(189, 142, 77)",101%,1230px,1380px
bulgarian electronic,"rgb(190, 142, 195)",100%,1357px,512px
classical trombone,"rgb(28, 163, 206)",100%,465px,16193px
one-person band,"rgb(157, 126, 73)",100%,611px,7615px
dub metal,"rgb(165, 103, 164)",100%,423px,5939px
canzone napoletana,"rgb(97, 150, 15)",102%,540px,13105px
basque folk,"rgb(105, 157, 32)",100%,808px,11345px
british soundtrack,"rgb(66, 156, 189)",103%,275px,11906px
nottingham indie,"rgb(148, 135, 60)",101%,471px,9142px
merida indie,"rgb(172, 125, 51)",100%,516px,5142px
accordion,"rgb(131, 142, 107)",101%,914px,10619px
drumfunk,"rgb(203, 133, 175)",101%,1049px,1467px
belgian indie rock,"rgb(167, 123, 82)",100%,441px,6208px
hmong pop,"rgb(158, 148, 51)",100%,867px,4059px
old west,"rgb(128, 146, 193)",100%,896px,10631px
greek folk,"rgb(103, 157, 86)",100%,751px,12275px
healing,"rgb(96, 111, 161)",103%,286px,11703px
hard techno,"rgb(204, 132, 213)",100%,1154px,388px
tin pan alley,"rgb(74, 142, 112)",100%,934px,15200px
electro house,"rgb(207, 123, 84)",119%,869px,1638px
swedish experimental,"rgb(101, 121, 177)",100%,235px,10937px
rock alagoano,"rgb(187, 122, 22)",100%,553px,5221px
breaks,"rgb(199, 130, 171)",100%,1036px,1688px
abstractro,"rgb(113, 138, 179)",100%,222px,10614px
popwave,"rgb(167, 146, 89)",101%,596px,2110px
aussietronica,"rgb(178, 139, 64)",103%,876px,2497px
electro dub,"rgb(166, 143, 110)",101%,1010px,2050px
power electronics,"rgb(164, 69, 152)",100%,187px,9093px
detski pesnichki,"rgb(118, 153, 26)",100%,1053px,7735px
jumpstyle,"rgb(215, 111, 116)",101%,1031px,1070px
greek jazz,"rgb(90, 157, 152)",100%,632px,12105px
kawaii future bass,"rgb(200, 126, 86)",102%,808px,1990px
otacore,"rgb(156, 132, 105)",109%,511px,6278px
afrikaans folk,"rgb(123, 150, 20)",100%,788px,9700px
dubstep product,"rgb(195, 127, 115)",100%,808px,2063px
danish indie,"rgb(154, 135, 64)",100%,518px,6759px
rhode island indie,"rgb(173, 114, 66)",100%,465px,8938px
tavern,"rgb(126, 147, 107)",100%,567px,10712px
deep liquid bass,"rgb(200, 138, 175)",100%,1095px,1454px
chinese post-punk,"rgb(188, 116, 112)",100%,372px,5889px
lo-fi beats,"rgb(100, 150, 153)",111%,1040px,8414px
english renaissance,"rgb(30, 166, 106)",100%,355px,16059px
indonesian indie rock,"rgb(186, 121, 69)",101%,317px,4472px
progressive power metal,"rgb(214, 97, 36)",100%,273px,4569px
rock gospel brasileiro,"rgb(166, 132, 15)",102%,401px,5975px
rap kreyol,"rgb(187, 132, 6)",101%,1075px,6515px
dangdut koplo,"rgb(179, 147, 9)",102%,803px,4783px
men's choir,"rgb(55, 132, 45)",100%,197px,16010px
icelandic metal,"rgb(202, 92, 101)",100%,192px,7190px
swedish rockabilly,"rgb(205, 111, 17)",100%,638px,7289px
rap malien,"rgb(183, 136, 2)",100%,1166px,5075px
merengue tipico,"rgb(192, 120, 10)",100%,1077px,8691px
truck-driving country,"rgb(124, 135, 20)",100%,886px,9873px
peruvian punk,"rgb(219, 92, 28)",100%,387px,7308px
danish choir,"rgb(29, 161, 45)",100%,224px,16156px
new england americana,"rgb(116, 148, 19)",101%,619px,11271px
street punk espanol,"rgb(227, 88, 14)",100%,411px,6870px
punk catala,"rgb(216, 97, 15)",100%,447px,5063px
tajik pop,"rgb(174, 135, 12)",100%,871px,5768px
sludge metal,"rgb(193, 96, 120)",101%,199px,8826px
midwest emo,"rgb(185, 116, 48)",101%,349px,7284px
portuguese post-rock,"rgb(138, 143, 179)",100%,267px,8987px
rock catarinense,"rgb(194, 116, 41)",100%,393px,5027px
black thrash,"rgb(230, 55, 105)",100%,167px,7664px
jazz orchestra,"rgb(105, 135, 97)",100%,627px,12617px
remix product,"rgb(225, 113, 27)",100%,797px,1152px
contemporary choir,"rgb(29, 161, 69)",100%,153px,16059px
instrumental bluegrass,"rgb(116, 153, 111)",101%,801px,11295px
country blues,"rgb(77, 147, 39)",101%,1100px,14899px
chicago punk,"rgb(220, 87, 35)",102%,338px,5925px
punk mexicano,"rgb(220, 87, 29)",100%,376px,8387px
greek metal,"rgb(214, 93, 79)",100%,235px,5039px
emo,"rgb(198, 107, 27)",109%,343px,5729px
salsa international,"rgb(160, 136, 20)",102%,1053px,10667px
oriental metal,"rgb(210, 94, 93)",101%,236px,5252px
rap criolo,"rgb(164, 138, 10)",101%,1053px,7876px
austrian metal,"rgb(215, 88, 70)",100%,226px,5127px
spanish black metal,"rgb(214, 60, 142)",100%,71px,7640px
modern reggae,"rgb(166, 141, 5)",104%,1111px,7274px
spanish electronic,"rgb(158, 147, 178)",100%,906px,2418px
deep breakcore,"rgb(197, 120, 178)",100%,1057px,1543px
abstract,"rgb(108, 134, 176)",100%,581px,9303px
finnish electronic,"rgb(165, 138, 177)",100%,953px,2802px
war metal,"rgb(222, 37, 174)",100%,60px,8814px
technical deathcore,"rgb(233, 67, 132)",100%,195px,6111px
dutch death metal,"rgb(232, 62, 116)",100%,160px,8132px
italian metalcore,"rgb(224, 89, 60)",100%,206px,3057px
classical bassoon,"rgb(34, 165, 189)",100%,425px,15754px
neue volksmusik,"rgb(132, 138, 32)",101%,914px,9305px
portuguese indie rock,"rgb(163, 131, 75)",100%,505px,5963px
deep soundtrack,"rgb(53, 162, 193)",100%,236px,12681px
colombian indie,"rgb(152, 141, 50)",101%,690px,6039px
emocore,"rgb(200, 96, 72)",100%,397px,7715px
ceilidh,"rgb(142, 146, 92)",100%,736px,9925px
balkan brass,"rgb(158, 133, 79)",101%,871px,7315px
soviet synthpop,"rgb(180, 125, 22)",100%,871px,2239px
bahai,"rgb(163, 136, 18)",100%,1027px,5124px
african electronic,"rgb(172, 140, 112)",100%,1134px,2908px
slam poetry,"rgb(124, 124, 9)",101%,1029px,11014px
calming instrumental,"rgb(42, 175, 195)",107%,898px,13847px
big room,"rgb(209, 123, 91)",114%,827px,1530px
chennai indie,"rgb(149, 138, 43)",100%,616px,5604px
deep hardcore punk,"rgb(208, 84, 50)",100%,403px,9240px
covertrance,"rgb(188, 133, 77)",100%,838px,1787px
ghent indie,"rgb(140, 141, 66)",100%,629px,7253px
jungle,"rgb(215, 123, 137)",101%,1010px,1319px
musica sarda,"rgb(122, 141, 16)",101%,629px,11618px
euroska,"rgb(194, 121, 23)",100%,926px,4987px
washington indie,"rgb(142, 130, 58)",102%,516px,10294px
nerdcore,"rgb(184, 119, 33)",100%,1020px,4158px
dark trap,"rgb(162, 143, 22)",109%,967px,3519px
steel guitar,"rgb(105, 147, 123)",100%,876px,11320px
musique alsacienne,"rgb(140, 134, 75)",100%,876px,10292px
australian hip hop,"rgb(182, 127, 17)",107%,863px,4471px
liquid funk,"rgb(214, 132, 142)",103%,926px,1356px
icelandic jazz,"rgb(78, 156, 151)",100%,792px,12129px
deep eurodance,"rgb(186, 130, 72)",100%,970px,1750px
munich indie,"rgb(155, 134, 41)",100%,690px,6089px
synthpop,"rgb(182, 119, 46)",109%,723px,2811px
post-punk brasileiro,"rgb(188, 119, 92)",100%,465px,3888px
cyberpunk,"rgb(189, 114, 130)",102%,459px,2411px
belgian post-rock,"rgb(133, 143, 160)",100%,353px,8827px
jersey club,"rgb(184, 131, 58)",100%,1138px,1895px
chicago house,"rgb(191, 126, 119)",103%,1189px,996px
deep sunset lounge,"rgb(136, 163, 165)",100%,733px,6179px
jazz boom bap,"rgb(142, 135, 124)",103%,1124px,3922px
british dance band,"rgb(61, 144, 99)",100%,849px,15234px
cornish folk,"rgb(80, 149, 19)",100%,738px,12287px
demoscene,"rgb(152, 132, 151)",100%,830px,4184px
chillstep,"rgb(166, 148, 138)",103%,586px,3664px
modern downshift,"rgb(199, 114, 22)",100%,427px,3664px
rock in opposition,"rgb(128, 129, 105)",100%,492px,11158px
irish experimental,"rgb(90, 138, 125)",100%,378px,11407px
tekno,"rgb(224, 116, 141)",100%,972px,1055px
musiikkia lapsille,"rgb(113, 144, 11)",100%,894px,10149px
vapor twitch,"rgb(164, 142, 95)",105%,808px,4266px
canadian post-punk,"rgb(193, 109, 119)",100%,351px,5656px
slovenian indie,"rgb(161, 118, 84)",100%,531px,6253px
samoan pop,"rgb(139, 139, 17)",100%,876px,6478px
dance rock,"rgb(177, 116, 37)",115%,619px,5093px
gospel italiano,"rgb(119, 150, 38)",100%,419px,9663px
austrian techno,"rgb(189, 142, 207)",100%,1234px,475px
afro house,"rgb(172, 143, 107)",102%,1215px,1319px
montana indie,"rgb(131, 135, 40)",100%,715px,8447px
experimental vocal,"rgb(96, 137, 47)",101%,507px,11703px
edm,"rgb(204, 125, 72)",126%,806px,1755px
dutch folk,"rgb(87, 157, 35)",100%,755px,12141px
dutch contemporary classical,"rgb(43, 151, 157)",100%,395px,15350px
german ska,"rgb(202, 114, 15)",101%,753px,4607px
malaysian hip hop,"rgb(178, 128, 16)",101%,947px,4523px
austrian indie,"rgb(132, 148, 38)",100%,743px,6842px
neurostep,"rgb(215, 123, 149)",100%,976px,1665px
tropical house,"rgb(193, 134, 59)",126%,888px,1850px
nubian traditional,"rgb(139, 132, 61)",100%,926px,9439px
georgian pop,"rgb(136, 143, 31)",100%,710px,9012px
birthday,"rgb(152, 134, 5)",100%,990px,5396px
reggae rock,"rgb(164, 134, 17)",104%,951px,5094px
medimeisterschaften,"rgb(175, 137, 45)",100%,1077px,2491px
college marching band,"rgb(119, 88, 171)",100%,680px,12893px
blasmusik,"rgb(92, 148, 167)",101%,806px,14155px
new weird america,"rgb(109, 139, 98)",101%,465px,12092px
black punk,"rgb(205, 87, 50)",100%,401px,7357px
indonesian indie,"rgb(160, 134, 38)",105%,601px,6179px
vegas indie,"rgb(188, 116, 29)",101%,533px,4593px
derby indie,"rgb(159, 125, 69)",100%,429px,7418px
phonk,"rgb(155, 143, 80)",103%,1044px,2618px
dutch moombahton,"rgb(185, 133, 73)",100%,1197px,2001px
sundanese traditional,"rgb(93, 161, 127)",100%,836px,13339px
uk house,"rgb(197, 130, 144)",102%,1222px,935px
ukg revival,"rgb(193, 127, 109)",102%,1239px,1669px
hungarian contemporary classical,"rgb(28, 157, 133)",100%,395px,15452px
classic moroccan pop,"rgb(169, 121, 29)",100%,842px,10112px
norwegian choir,"rgb(45, 160, 68)",100%,195px,15308px
uk stoner rock,"rgb(194, 110, 84)",100%,233px,8863px
son cubano clasico,"rgb(120, 139, 27)",100%,1057px,12703px
pakistani folk,"rgb(159, 121, 17)",100%,783px,11209px
australian metal,"rgb(217, 78, 89)",100%,201px,6001px
irish drill,"rgb(152, 140, 13)",100%,1210px,4508px
italian doom metal,"rgb(184, 110, 117)",100%,146px,7703px
cosmic black metal,"rgb(173, 71, 180)",100%,66px,8035px
chamame,"rgb(131, 142, 14)",102%,1010px,11332px
mande pop,"rgb(152, 141, 39)",101%,957px,9384px
central american metal,"rgb(222, 83, 71)",100%,291px,6340px
guatemalan metal,"rgb(208, 88, 75)",100%,244px,7115px
atmospheric doom,"rgb(163, 119, 125)",100%,164px,8144px
kannada bhava geethe,"rgb(140, 143, 7)",100%,943px,11222px
trap tuga,"rgb(152, 148, 11)",101%,1075px,7661px
deep norteno,"rgb(181, 140, 5)",101%,972px,7661px
spanish jazz,"rgb(92, 152, 128)",100%,863px,13705px
mbalax,"rgb(167, 132, 26)",100%,993px,8678px
jazz catala,"rgb(98, 150, 126)",100%,894px,13226px
salsa,"rgb(161, 134, 26)",107%,1049px,10270px
japanese pop punk,"rgb(226, 87, 21)",101%,289px,4420px
modern country rock,"rgb(174, 132, 1)",111%,547px,4349px
gaita zuliana,"rgb(196, 113, 9)",100%,1062px,8201px
heavy psych,"rgb(184, 115, 127)",100%,220px,8802px
alberta country,"rgb(168, 137, 1)",101%,569px,4734px
somali pop,"rgb(168, 138, 9)",100%,1073px,4171px
drone ambient,"rgb(67, 134, 216)",100%,64px,13985px
rap ivoire,"rgb(184, 140, 3)",101%,1042px,5347px
alabama metal,"rgb(216, 82, 72)",100%,238px,5420px
canto popular uruguayo,"rgb(109, 150, 16)",101%,947px,12716px
carnaval cadiz,"rgb(176, 112, 13)",101%,849px,8691px
fado,"rgb(83, 160, 19)",101%,741px,13610px
drone psych,"rgb(118, 134, 144)",100%,419px,10974px
estonian electronic,"rgb(162, 142, 173)",100%,976px,2368px
italian electronica,"rgb(151, 147, 167)",100%,898px,2870px
slamming deathcore,"rgb(235, 69, 128)",101%,199px,5228px
swedish metalcore,"rgb(233, 84, 19)",101%,215px,2198px
belgian modern jazz,"rgb(108, 145, 126)",100%,741px,11620px
oshare kei,"rgb(209, 102, 35)",101%,411px,3384px
swedish tropical house,"rgb(179, 141, 82)",103%,890px,1951px
deep psytrance,"rgb(199, 135, 181)",100%,1089px,1010px
prank,"rgb(120, 92, 9)",100%,1235px,14468px
electronic trap,"rgb(207, 125, 67)",108%,849px,2251px
russian indie,"rgb(173, 132, 42)",101%,601px,4220px
deep dubstep,"rgb(172, 141, 145)",101%,1082px,1873px
e6fi,"rgb(153, 126, 68)",101%,476px,9093px
russian alternative,"rgb(201, 108, 40)",101%,465px,3651px
psychedelic punk,"rgb(187, 102, 97)",100%,334px,8814px
electro swing,"rgb(177, 130, 80)",103%,1100px,2393px
french folk,"rgb(85, 152, 22)",100%,823px,13051px
traditional british folk,"rgb(73, 159, 21)",100%,874px,13296px
hungarian rock,"rgb(182, 116, 27)",101%,619px,5579px
australian electropop,"rgb(175, 138, 47)",104%,763px,2833px
swiss rock,"rgb(162, 130, 30)",101%,556px,6135px
concert band,"rgb(67, 141, 190)",100%,411px,15160px
polish synthpop,"rgb(164, 135, 55)",100%,611px,3900px
new age,"rgb(75, 163, 167)",104%,411px,11712px
draaiorgel,"rgb(108, 152, 121)",100%,621px,11838px
native american contemporary,"rgb(135, 135, 30)",101%,743px,8791px
indonesian pop,"rgb(154, 140, 21)",109%,624px,5706px
emo rap,"rgb(142, 151, 21)",114%,867px,4656px
sotalaulut,"rgb(115, 133, 41)",100%,770px,11677px
early music,"rgb(43, 163, 115)",104%,389px,15246px
azeri pop,"rgb(157, 133, 15)",100%,767px,6866px
humppa,"rgb(143, 128, 5)",100%,863px,9725px
greenlandic pop,"rgb(145, 142, 25)",100%,624px,5852px
indonesian hip hop,"rgb(173, 131, 30)",102%,1029px,3934px
italian post punk,"rgb(183, 121, 103)",100%,423px,4499px
spanish techno,"rgb(199, 137, 213)",100%,1281px,326px
french rock,"rgb(134, 136, 16)",105%,817px,9317px
musical advocacy,"rgb(140, 134, 14)",100%,533px,8717px
orkney and shetland folk,"rgb(100, 163, 81)",100%,505px,13158px
german baroque,"rgb(44, 163, 129)",103%,401px,15184px
athens indie,"rgb(158, 132, 58)",101%,514px,7778px
deep soft rock,"rgb(120, 143, 41)",100%,704px,8118px
uk noise rock,"rgb(198, 83, 131)",100%,253px,8010px
hong kong hip hop,"rgb(167, 130, 35)",101%,984px,4022px
mexican electronic,"rgb(159, 139, 141)",100%,1012px,2562px
c64,"rgb(173, 137, 148)",100%,865px,2627px
brazilian experimental,"rgb(135, 133, 156)",100%,635px,8410px
brazilian composition,"rgb(74, 156, 133)",101%,786px,14428px
irish gaelic folk,"rgb(46, 170, 22)",100%,603px,14813px
taiwan instrumental,"rgb(64, 164, 152)",100%,437px,12853px
lds,"rgb(69, 155, 79)",101%,443px,13158px
steampunk,"rgb(151, 128, 43)",101%,596px,7492px
early music ensemble,"rgb(36, 164, 62)",100%,351px,15277px
reggae catala,"rgb(187, 130, 9)",101%,920px,4071px
indie viet,"rgb(112, 152, 30)",101%,690px,9787px
australian hardcore,"rgb(225, 79, 64)",100%,311px,7790px
ghanaian gospel,"rgb(174, 136, 4)",100%,808px,6504px
danish modern jazz,"rgb(94, 152, 147)",100%,797px,11531px
latvian hip hop,"rgb(163, 133, 48)",100%,1035px,6072px
adult standards,"rgb(85, 143, 41)",114%,723px,13567px
vintage finnish jazz,"rgb(75, 151, 12)",100%,684px,14237px
blues rock,"rgb(149, 119, 33)",112%,803px,10974px
minimalism,"rgb(38, 164, 168)",101%,355px,15135px
funeral doom,"rgb(164, 121, 123)",100%,217px,8120px
indonesian worship,"rgb(134, 148, 12)",101%,490px,9947px
pop electronico,"rgb(174, 137, 43)",102%,812px,2691px
chalga,"rgb(192, 130, 29)",101%,943px,2454px
psybass,"rgb(182, 137, 137)",100%,1016px,2074px
welsh hip hop,"rgb(175, 125, 48)",100%,976px,5274px
brazilian rock,"rgb(190, 115, 17)",107%,591px,5668px
armenian folk,"rgb(149, 137, 46)",100%,684px,8716px
freestyle,"rgb(180, 127, 37)",102%,986px,1837px
lo-fi,"rgb(164, 115, 75)",103%,453px,8814px
instrumental grime,"rgb(183, 134, 91)",102%,1062px,2310px
singing bowl,"rgb(44, 162, 188)",100%,188px,13263px
macedonian pop,"rgb(166, 130, 12)",100%,653px,5656px
swiss alternative rock,"rgb(183, 118, 40)",100%,476px,4906px
pinoy hip hop,"rgb(164, 135, 10)",103%,1077px,4308px
deep g funk,"rgb(162, 130, 20)",100%,1152px,3302px
hypnosis,"rgb(30, 148, 94)",100%,345px,14447px
musique concrete,"rgb(76, 111, 116)",100%,419px,13887px
indie tico,"rgb(155, 135, 64)",100%,529px,6820px
british brass band,"rgb(59, 143, 207)",100%,372px,15695px
vintage dutch pop,"rgb(111, 140, 21)",100%,728px,11456px
